CODIGO__MUESTRA,FECHA,NOMBRE DEL PUNTO DE MONITOREO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,Ammoniacal Nitrogen,BOD5,COD,Chloride,Dissolved Oxygen,Electrical Conductivity,Nitrate,Nitrite,Sulfate,Temperature,Total Suspended Solids,Turbidity,pH
26420,2017-06-14,RCA_CHIVOR_CUN_UBALA_UBALA [35067030],CUNDINAMARCA,UBALÁ,4.780222222,-73.49183333,0.3,,23.0,,7.2,56.03,0.2,0.006,,17.6,400.0,190.0,6.99
26421,2017-06-15,RCA_MONIQUIRA_BOY_MONIQUIRA_MONIQUIRA [24017600],BOYACÁ,MONIQUIRÁ,5.878138889,-73.57025,,,21.0,,8.5,207.6,,,,18.8,36.0,19.0,7.73
26422,2017-06-15,RCA_LA MIEL_ANT_SONSON_SAN MIGUEL [23057140],ANTIOQUIA,SONSÓN,5.731027778,-74.72583333,,,10.0,,12.9,50.51,,,,24.4,28.0,13.0,7.18
26423,2017-06-16,RCA_NEGRO_CUN_PUERTO SALGAR_PTO.LIBRE [23067040],CUNDINAMARCA,PUERTO SALGAR,5.759222222,-74.63175,0.3,,180.0,,13.5,408.0,0.64,0.006,,25.9,3120.0,1860.0,7.76
26424,2017-06-16,RCA_GUAVIO_CUN_GACHETA_PTE.REYES [35067330],CUNDINAMARCA,GACHETÁ,4.81775,-73.64261111,0.3,,30.0,,7.4,40.49,0.17,0.006,,18.3,260.0,190.0,6.98
26425,2017-06-16,RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],TOLIMA,NATAGAIMA,3.44,-75.12,,,26.0,,7.0,119.0,,,,25.2,470.0,350.0,7.55
26426,2017-06-15,RCA_CARARE_SAN_CIMITARRA_STA.ROSA [23127060],SANTANDER,CIMITARRA,6.291944444,-74.09833333,0.3,,40.0,,8.7,180.0,0.45,0.007,,25.7,380.0,230.0,7.65
26435,2017-06-20,RCA_GARAGOA_BOY_GARAGOA_CARACOL EL [35077120],BOYACÁ,GARAGOA,5.056861111,-73.39033333,0.3,,104.0,,6.3,108.0,1.1,0.01,,19.0,1370.0,1060.0,7.65
26436,2017-06-18,RCA_NARE_ANT_CARACOLI_CANTERAS [23087210],ANTIOQUIA,PUERTO NARE,6.276083333,-74.67330556,,,10.0,,14.7,37.0,,,,23.8,54.0,41.0,7.48
26437,2017-06-19,RCA_MINERO_BOY_PAUNA_BORBUR [23127010],BOYACÁ,PAUNA,5.649388889,-74.05502778,0.3,,23.0,,8.1,351.0,0.13,0.006,,25.0,260.0,190.0,7.96
26438,2017-06-20,RCA_CABRERA_HUI_VILLAVIEJA_SAN ALFONSO [21147010],HUILA,VILLAVIEJA,3.3705,-75.11416667,0.3,,81.0,,6.9,82.02,0.48,0.043,,23.0,690.0,1070.0,7.62
26439,2017-06-20,RCA_GUAVIARE_VIC_CUMARIBO_CEJAL [32207010],VICHADA,CUMARIBO,3.993665,-68.333828,,,10.0,,5.1,30.8,,,,27.4,86.0,27.0,6.53
26440,2017-06-12,RCA_CASANARE_ARA_CRAVO NORTE_CRAVONORTE [36027050],ARAUCA,CRAVO NORTE,6.295638889,-70.19433333,,,23.0,,6.9,62.2,,,,26.2,290.0,160.0,6.94
26441,2017-06-17,RCA_ORINOCO_VIC_PUERTO CARRENO_PTO.CARRENO [38017010],VICHADA,PUERTO CARREÑO,6.176527778,-67.47958333,0.3,,15.0,,6.3,12.8,0.16,0.006,,27.2,39.0,36.0,6.59
26442,2017-06-17,RCA_META_VIC_PUERTO CARRENO_ACEITICO [35257040],VICHADA,PUERTO CARREÑO,6.1835,-68.441556,0.3,,20.0,,6.5,84.8,0.15,0.006,,27.4,190.0,500.0,6.64
26443,2017-06-22,RCA_LAS CEIBAS_HUI_NEIVA_GUAYABO [21117080],HUILA,NEIVA,2.92,-75.15,0.3,,10.0,,5.2,131.0,0.17,0.006,,22.0,36.0,20.0,7.99
26444,2017-06-22,RCA_CHULO_BOY_TUTA_PILAS LAS [24037250],BOYACÁ,TUTA,5.666666667,-73.26666667,3.2,,54.0,,6.0,231.0,0.75,0.12,,18.1,97.0,89.0,6.95
26445,2017-06-23,RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],HUILA,NEIVA,2.942611111,-75.30852778,,,18.0,,5.9,113.0,,,,23.3,150.0,140.0,7.14
26459,2017-07-06,RCA_ATRATO_CHO_QUIBDO_QUIBDO [11047020],CHOCÓ,QUIBDÓ,5.697778056,-76.662222222,,,11.0,,5.0,20.3,,,,27.2,72.0,81.0,6.88
26460,2017-07-10,RCA_DE ORO_SAN_PIEDECUESTA_CONQUISTADOR EL [23197430],SANTANDER,PIEDECUESTA,6.989444444,-73.04111111,0.3,,10.0,,9.9,95.2,0.28,0.0065,,19.0,11.0,8.0,6.91
26463,2017-07-12,RCA_MAGDALENA_MAG_EL BANCO_EL BANCO [25027020],MAGDALENA,EL BANCO,8.992527778,-73.96944444,0.3,,21.0,,4.9,160.0,14.0,0.006,,26.4,230.0,130.0,7.08
26466,2017-07-16,RCA_PAMPLONITA_NOR_CHINACOTA_LA DONJUANA [16017020],NORTE DE SANTANDER,CHINÁCOTA,7.687972222,-72.60547222,0.3,,48.0,,7.0,144.0,0.85,0.006,,23.3,170.0,170.0,7.23
26467,2017-07-20,RCA_ZULIA_NOR_DURANIA_SAN JAVIER-PTE.ZULIA [16027001],NORTE DE SANTANDER,DURANIA,7.836388889,-72.65083333,0.3,,10.0,,8.1,102.0,0.26,0.006,,21.7,300.0,110.0,7.0
26468,2017-07-21,RCA_GUIZA_NAR_RICAURTE_PILISPI [51027020],NARIÑO,RICAURTE,1.206083333,-77.98513889,0.3,,10.0,,6.9,149.0,0.1,0.006,,20.9,4.5,3.5,8.2
26469,2017-07-21,RCA_PAMPLONITA_NOR_CUCUTA_AGUAS CLARAS [16017010],NORTE DE SANTANDER,CÚCUTA,8.233611111,-72.41722222,0.3,,95.0,,4.6,216.0,1.8,0.078,,25.5,1330.0,980.0,6.92
26470,2017-07-22,RCA_MAGDALENA_BOL_CORDOBA_TACAMOCHO[25027940],BOLÍVAR,CÓRDOBA,9.493583333,-74.81538889,0.3,,19.0,,4.9,144.0,14.0,0.0088,,31.1,100.0,86.0,7.0
26471,2017-07-23,RCA_MAGDALENA BZO.MOMPOS_MAG_SANTA ANA_SANTA ANA [25027370],MAGDALENA,SANTA ANA,9.320252778,-74.57455833,0.3,,32.0,,4.7,146.0,13.0,0.006,,27.2,230.0,160.0,7.09
26472,2017-07-24,RCA_MAGDALENA BZO.DE LOBA_BOL_MAGANGUE_MAGANGUE [25027680],BOLÍVAR,MAGANGUÉ,9.24,-74.74166667,0.3,,28.0,,5.1,192.0,10.0,0.0098,,29.2,290.0,190.0,7.5
26473,2017-08-01,RCA_VAUPES_VAU_MITU_MITU [42077020],VAUPES,MITÚ,1.259806,-70.239167,,,13.0,,5.3,9.34,,,,26.4,4.5,7.7,5.32
26479,2017-08-02,RCA_COMBEIMA_TOL_IBAGUE_MONTEZUMA [21217180],TOLIMA,IBAGUÉ,4.4819444,-75.28611111,,,10.0,,8.0,311.0,,,,17.5,63.0,38.0,8.1
26480,2017-08-03,RCA_CATATUMBO_NOR_TEORAMA_QUINCE LETRAS [16057040],NORTE DE SANTANDER,TEORAMA,8.541111111,-73.24611111,,,55.0,,6.8,131.0,,,,24.7,520.0,560.0,7.74
26481,2017-08-03,RCA_COELLO_TOL_SAN LUIS_PAYANDE [21217070],TOLIMA,SAN LUIS,4.3013407,-75.0903693,0.3,,10.0,,7.3,260.0,0.23,0.012,,24.3,22.0,15.0,8.3
26482,2017-08-04,RCA_ALGODONAL_NOR_OCANA_LA CABANA [16057030],NORTE DE SANTANDER,OCAÑA,8.197805556,-73.31825,0.3,,36.0,,8.3,76.0,0.63,0.021,,21.3,290.0,,6.89
