standard_id,layer_id,CODIGO__MUESTRA,n_params,violation_score_0_100,severity_score_0_100,risk_score_0_100,critical_violation_flag,created_at,standard_code,layer_code
1,1,20658,2,57.14,56.63,56.99,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20659,2,100.0,52.45,85.74,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20660,2,57.14,27.99,48.4,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20661,2,57.14,52.94,55.88,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20662,2,57.14,56.1,56.83,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20663,2,57.14,55.74,56.72,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20664,2,57.14,56.79,57.04,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20676,2,57.14,23.92,47.17,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20682,2,100.0,50.64,85.19,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20684,2,57.14,54.37,56.31,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20685,2,100.0,61.79,88.54,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20686,2,100.0,63.32,89.0,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20705,2,57.14,50.17,55.05,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20706,2,57.14,53.66,56.1,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20707,2,100.0,59.16,87.75,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20708,2,57.14,55.28,56.58,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20709,2,0.0,0.0,0.0,0,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20710,2,57.14,53.28,55.98,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20718,2,57.14,53.97,56.19,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20719,2,57.14,52.88,55.86,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20720,2,100.0,56.9,87.07,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20721,2,57.14,29.93,48.98,1,2026-02-25 17:23:54,CO_2115,SANITARY
