CODIGO__MUESTRA,CO_2115,EPA,epa_minus_colombia,epa_stricter_flag,colombia_only_acceptable
13672,81.5,78.71,-2.7900000000000063,0,0
13673,56.91,56.91,0.0,0,0
13674,87.35,87.17,-0.1799999999999926,0,0
13675,89.02,89.02,0.0,0,0
13676,85.72,85.1,-0.6200000000000045,0,0
13693,86.64,86.57,-0.07000000000000739,0,0
13702,57.1,57.1,0.0,0,0
13703,77.14,71.64,-5.5,0,0
13704,50.44,48.4,-2.039999999999999,0,0
13705,80.96,77.0,-3.9599999999999937,0,0
13706,84.96,84.21,-0.75,0,0
13707,81.3,77.44,-3.8599999999999994,0,0
13714,54.69,54.46,-0.22999999999999687,0,0
13715,55.0,54.82,-0.17999999999999972,0,0
13726,86.36,86.33,-0.030000000000001137,0,0
13727,47.51,42.61,-4.899999999999999,0,0
13728,55.05,54.88,-0.1699999999999946,0,0
13736,46.94,41.27,-5.669999999999995,0,0
13739,91.18,89.29,-1.8900000000000006,0,0
13741,99.88,99.88,0.0,0,0
13742,99.5,99.5,0.0,0,0
13749,81.82,80.15,-1.6699999999999875,0,0
13750,56.82,56.81,-0.00999999999999801,0,0
13751,56.82,56.81,-0.00999999999999801,0,0
13752,56.67,56.67,0.0,0,0
13753,94.64,94.0,-0.6400000000000006,0,0
13760,51.02,49.35,-1.6700000000000017,0,0
13761,45.4,0.0,-45.4,0,0
13762,0.0,0.0,0.0,0,0
13763,98.67,98.64,-0.030000000000001137,0,0
13764,86.85,86.84,-0.009999999999990905,0,0
13769,55.64,55.55,-0.09000000000000341,0,0
13778,98.31,98.26,-0.04999999999999716,0,0
13779,55.36,55.24,-0.11999999999999744,0,0
13780,55.15,55.0,-0.14999999999999858,0,0
13786,49.88,47.4,-2.480000000000004,0,0
13787,54.38,54.08,-0.30000000000000426,0,0
13805,48.82,45.4,-3.4200000000000017,0,0
13806,85.53,86.42,0.8900000000000006,1,0
13807,54.82,54.62,-0.20000000000000284,0,0
13808,54.28,53.97,-0.3100000000000023,0,0
13809,54.82,54.62,-0.20000000000000284,0,0
13814,55.58,55.49,-0.0899999999999963,0,0
13816,55.78,55.71,-0.07000000000000028,0,0
13818,55.0,54.82,-0.17999999999999972,0,0
13819,55.1,54.94,-0.1600000000000037,0,0
13820,55.52,55.43,-0.09000000000000341,0,0
13821,56.11,56.07,-0.03999999999999915,0,0
13822,56.38,56.36,-0.020000000000003126,0,0
13823,55.82,55.76,-0.060000000000002274,0,0
13826,80.73,78.75,-1.980000000000004,0,0
13831,55.39,55.28,-0.10999999999999943,0,0
13837,80.73,78.75,-1.980000000000004,0,0
13838,87.17,87.16,-0.010000000000005116,0,0
13839,56.95,56.95,0.0,0,0
13840,44.15,0.0,-44.15,0,0
13844,56.74,56.73,-0.010000000000005116,0,0
13847,84.2,83.58,-0.6200000000000045,0,0
13848,0.0,0.0,0.0,0,0
13849,31.15,31.15,0.0,0,0
13850,52.1,51.02,-1.0799999999999983,0,0
13851,50.55,48.57,-1.9799999999999969,0,0
13853,56.74,56.73,-0.010000000000005116,0,0
13859,56.27,56.24,-0.030000000000001137,0,0
13860,56.31,56.28,-0.030000000000001137,0,0
13861,85.52,85.4,-0.11999999999999034,0,0
13862,54.69,54.46,-0.22999999999999687,0,0
13863,41.83,0.0,-41.83,0,0
13864,56.72,56.71,-0.00999999999999801,0,0
13865,50.34,48.21,-2.1300000000000026,0,0
13866,51.43,50.0,-1.4299999999999997,0,0
13867,55.15,55.0,-0.14999999999999858,0,0
13869,55.05,54.88,-0.1699999999999946,0,0
13870,54.08,53.71,-0.36999999999999744,0,0
13871,56.86,56.86,0.0,0,0
13873,56.17,56.13,-0.03999999999999915,0,0
13877,56.88,56.87,-0.010000000000005116,0,0
13878,56.74,56.73,-0.010000000000005116,0,0
13880,89.48,89.4,-0.0799999999999983,0,0
