CODIGO__MUESTRA,FECHA,NOMBRE DEL PUNTO DE MONITOREO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,risk_DISCHARGE_CO_0631,risk_SANITARY_CO_2115,risk_SANITARY_EPA,critical_violation_any,sanitary_epa_minus_co
11547,2005-04-15 00:00:00,RCA_MAGDALENA BZO.MOMPOS_MAG_SANTA ANA_SANTA ANA [25027370],MAGDALENA,SANTA ANA,9.320252778,-74.57455833,33.23,87.59,87.59,1,0.0
11563,2005-04-24 00:00:00,RCA_FUNDACION_MAG_FUNDACION_FUNDACION [29067120],MAGDALENA,FUNDACIÓN,10.525085,-74.182576,0.0,52.86,52.1,1,-0.759999999999998
11564,2005-04-24 00:00:00,RCA_ARACATACA_MAG_ARACATACA_PTE.FERROCARRIL [29067130],MAGDALENA,ARACATACA,10.58580556,-74.19211111,0.0,77.23,71.89,1,-5.340000000000003
11565,2005-04-25 00:00:00,RCA_TUCURINCA_MAG_CIENAGA_TREBOL EL [29067010],MAGDALENA,CIÉNAGA,10.63591667,-74.14633333,0.0,50.55,48.57,1,-1.9799999999999969
11566,2005-04-25 00:00:00,RCA_SEVILLA_MAG_ZONA BANANERA_CANAL FLORIDA [29067050],MAGDALENA,ZONA BANANERA,10.756182,-74.086145,0.0,48.48,44.72,1,-3.759999999999998
11567,2005-04-25 00:00:00,RCA_FRIO_MAG_ZONA BANANERA_FRIO [29067070],MAGDALENA,CIÉNAGA,10.903945,-74.147716,0.0,45.07,0.0,1,-45.07
11568,2005-04-14 00:00:00,RCA_CESAR_CES_VALLEDUPAR_PTESALGUERO [28037030],CESAR,VALLEDUPAR,10.38411111,-73.23247222,33.03,99.43,99.42,1,-0.010000000000005116
11578,2005-04-27 00:00:00,MAGDALENA_HUI_AGRADO_PTE.BALSEADERO [21047010],HUILA,AGRADO,2.232361111,-75.64855556,33.17,57.08,57.08,1,0.0
11579,2005-04-27 00:00:00,RCA_SUAZA_HUI_GUADALUPE_PTE.GARCES [21037010],HUILA,ALTAMIRA,2.03,-75.78,33.1,56.85,56.85,1,0.0
11581,2005-04-29 00:00:00,RCA_ANIMEGRANDE_CES_CHIRIGUANA_PTE.CARRETERA [25027890],CESAR,CHIRIGUANÁ,9.350135,-73.492699,0.0,82.95,74.14,1,-8.810000000000002
