NOMBRE DEL PUNTO DE MONITOREO,n_samples,sanitary_mean,discharge_mean,critical_rate_pct,LATITUD,LONGITUD,DEPARTAMENTO,MUNICIPIO,sanitary_rank,discharge_rank
RCA_CAUCA_CAU_POPAYAN_PUENTE LA VARIANTE,1.0,87.48,0.0,100.0,2.463006,-76.634722,CAUCA,POPAYÁN,1.0,214.0
RCA_CAUCA_CAU_SANTANDER DE QUILICHAO_LA BOLSA [26027180],13.0,65.23615384615384,12.449230769230768,100.0,4.3013407,-76.49985,CAUCA,SANTANDER DE QUILICHAO,21.0,116.0
RCA_CAUCA_RIS_LA VIRGINIA_LA VIRGINIA [26177030],32.0,59.99187499999999,14.400625000000002,96.875,4.8925,-75.882694444,RISARALDA,LA VIRGINIA,58.0,107.0
RCA_CAUCA_VAL_CANDELARIA_JUANCHITO [26067010],32.0,62.67575757575758,20.585151515151512,100.0,3.45160833,-76.47538333,VALLE DEL CAUCA,CANDELARIA,34.0,66.0
RCA_CAUCA_VAL_GUADALAJARA DE BUGA_MEDIACANOA [26087140],13.0,60.382307692307684,12.503076923076925,100.0,3.88961111,-76.34997222,VALLE DEL CAUCA,GUADALAJARA DE BUGA,51.0,115.0
RCA_CAUCA_VAL_LA VICTORIA_VICTORIA LA [26107070],28.0,65.75964285714285,16.486785714285716,100.0,4.524884,-76.0437,VALLE DEL CAUCA,LA VICTORIA,19.0,92.0
RCA_CAUCA_VAL_YUMBO_PASO DE LA TORRE - CAUCA,19.0,62.446315789473694,12.193157894736842,100.0,3.646388889,-76.45194444,VALLE DEL CAUCA,YUMBO,37.0,117.0
RCA_CESAR_CES_EL PASO_PTE.CANOAS [28037090],16.0,58.7725,20.509999999999998,100.0,9.648193,-73.646367,CESAR,EL PASO,75.0,67.0
RCA_CESAR_CES_VALLEDUPAR_PTESALGUERO [28037030],22.0,59.86318181818182,15.125,100.0,10.38411111,-73.23247222,CESAR,VALLEDUPAR,62.0,102.0
RCA_CESAR_LGU_SAN JUAN DEL CESAR_CORRAL DE PIEDRA [28017080],21.0,51.527272727272724,3.0090909090909093,95.45454545454545,10.81891667,-73.05508333,LA GUAJIRA,SAN JUAN DEL CESAR,191.0,192.0
RCA_CGA.ZAPATOZA_CES_CHIMICHAGUA_SALOA [25027140],5.0,68.56800000000001,6.645999999999999,100.0,9.2497222,-73.806666666,CESAR,CHIMICHAGUA,10.0,159.0
RCA_CHICAMOCHA_BOY_COVARACHIA_CAPITANEJO [24037390],26.0,55.755384615384614,29.196153846153848,100.0,6.5124028,-72.692761111,SANTANDER,CAPITANEJO,132.0,33.0
RCA_CHICAMOCHA_BOY_PAZ DE RIO_PAZ DE RIO [24037510],52.0,61.2801923076923,10.586923076923076,100.0,5.9877472,-72.744522222,BOYACÁ,PAZ DE RIO,47.0,133.0
RCA_CHICAMOCHA_BOY_SOGAMOSO_PTE.CHAMEZA [24037290],46.0,60.69195652173914,5.737608695652174,97.82608695652173,5.759888889,-72.90652778,BOYACÁ,SOGAMOSO,50.0,166.0
RCA_CHICAMOCHA_BOY_SOTAQUIRA_LA REFORMA [24037130],3.0,50.85666666666666,0.0,100.0,5.748833333,-73.18988889,BOYACÁ,SOTAQUIRÁ,198.0,214.0
RCA_CHICAMOCHA_BOY_TIBASOSA_SAN RAFAEL [24037190],55.0,59.53618181818182,1.1554545454545455,96.36363636363636,5.807611111,-73.01380556,BOYACÁ,TIBASOSA,66.0,209.0
RCA_CHICAMOCHA_SAN_JORDAN_JORDAN EL [24037360],40.0,52.94775,29.725749999999998,95.0,6.749722222,-73.09666667,SANTANDER,LOS SANTOS,177.0,32.0
RCA_CHINCHINA_CAL_MANIZALES_RETIRO EL [26157020],31.0,56.12548387096775,22.754516129032258,100.0,5.126777778,-75.67119444,CALDAS,PALESTINA,122.0,60.0
RCA_CHINCHINA_CAL_MANIZALES_SANTAGUEDA [2615700213],2.0,55.7,0.0,100.0,5.080369444,-75.666305556,CALDAS,MANIZALES,133.0,214.0
